# STEREO Data for run titled "SNR20"
#
# Total Number of Trials: 2077.0
# Solved Trials: 1008.0, 73.46938775510205% (of attempted solves), 48.53153586904189% (total)
# Solver Fails: 351.0, 25.583090379008745% (of attempted solves), 16.899374097255656% (total)
# Timeout Fails: 13.0, 0.9475218658892128% (of attempted solves), 0.6259027443428021% (total)
# Low Star Counts (<4): 705.0, 33.943187289359656%
# Total Data Collection Time: 0.2346431613789173 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
1     1     -0.0006536539199188951     26673     5     244.79547000688405     -43.098070733068525     244.79498147804875     -43.09868954499117     217.4331359565258     20.0      0
2     -1     -999     36339     3     302.69562678216164     -46.75367015341335     -999     -999     -999     20.0      0
3     -1     -999     18421     2     32.64080656904028     -39.040200951029036     -999     -999     -999     20.0      0
4     -1     -999     5636     1     74.06430695784161     -44.36195790153036     -999     -999     -999     20.0      0
5     1     -0.0008461726825785831     33783     6     246.115373111894     -41.18557736920976     246.11443187098396     -41.18639540497846     193.40061396360397     20.0      0
6     1     -3.067615505614185e-05     5914     9     92.49994602300185     -35.521429249927884     92.49975201933569     -35.521435561907204     466.2490610498935     20.0      0
7     1     2.3959446309618215e-05     170     11     128.5465471023087     -43.85048026853545     128.5459145480237     -43.85058466296711     23.554063867777586     20.0      0
8     0     -999     9744     4     168.5190737662846     -41.429519452339136     -999     -999     119.13577397353947     20.0      0
9     1     0.0007331696801244902     35567     7     103.2850989893011     -47.27099692232571     103.28546826462207     -47.27027048014217     256.8934680894017     20.0      0
10     1     -0.0007597743784018007     22502     7     212.57693329522232     -43.317374380606445     212.5762330589592     -43.31822884116792     357.33834584243596     20.0      0
11     1     -0.0012123176474787556     6167     6     215.21005407071715     -47.87082606990404     215.2087868857386     -47.8718288923002     90.45655699446797     20.0      0
12     0     -999     25060     4     150.7569072306757     -39.36863858203049     -999     -999     48.99006197229028     20.0      0
13     1     -0.00038114339793793306     4466     7     110.04780007365422     -34.57184062358548     110.04749589966042     -34.57221282170414     88.20105297490954     20.0      0
14     0     -999     11621     4     308.15629275807754     -36.110952690719664     -999     -999     160.3966939728707     20.0      0
15     -1     -999     3438     3     311.2749700373543     -45.11556697702309     -999     -999     -999     20.0      0
16     0     -999     19006     4     149.1112100552105     -41.30158299197015     -999     -999     134.619670920074     20.0      0
17     0     -999     410     5     107.09087868466283     -54.9770139975818     -999     -999     855.6485660374165     20.0      0
18     -1     -999     26441     3     337.5451670343379     -49.100228430212674     -999     -999     -999     20.0      0
19     1     -0.0025586099237457915     19182     10     256.1946018330466     -36.92840110054504     256.1940323580136     -36.93094736270883     33.31714286468923     20.0      0
20     1     -0.0008577333408084087     6014     5     38.67149189172033     -37.08381035719779     38.671622874750035     -37.08466476437992     30.43677005916834     20.0      0
21     -1     -999     4331     1     164.29667244839612     -46.47767577424365     -999     -999     -999     20.0      0
22     -1     -999     34732     2     193.93231947104235     -45.81047775968474     -999     -999     -999     20.0      0
23     1     -0.0016066553537328332     18005     7     223.51968699689667     -49.01118641857617     223.51865882106074     -49.01293896155114     132.26406811736524     20.0      0
24     1     -0.0009452211877061245     35584     7     288.5587932517509     -42.71826465467776     288.5587964946541     -42.71921014527027     169.57318992353976     20.0      0
25     1     -0.001740374729060079     23665     8     260.72046794518326     -42.9306500778775     260.72010268010195     -42.93237037982014     68.94603301770985     20.0      0
26     -1     -999     6361     3     211.63701987057578     -37.865011100548344     -999     -999     -999     20.0      0
27     0     -999     29624     4     79.96319549102022     -45.832645702411135     -999     -999     292.6421049050987     20.0      0
28     -1     -999     34721     3     304.3820124532236     -47.56998951962257     -999     -999     -999     20.0      0
29     -1     -999     15873     1     321.8673493642742     -49.075507102945146     -999     -999     -999     20.0      0
30     -1     -999     8923     2     59.74592238452054     -33.798043913371494     -999     -999     -999     20.0      0
31     -1     -999     33744     3     144.93564339945985     -43.670079166846556     -999     -999     -999     20.0      0
32     1     -0.00027729443652901864     12014     10     138.47860337312787     -45.632373422182155     138.47803045882873     -45.63257090593307     62.662394950166345     20.0      0
33     -1     -999     3605     3     302.3382532874905     -38.38434587892091     -999     -999     -999     20.0      0
34     0     -999     33294     4     308.3022731121023     -48.74700442213866     -999     -999     137.61750096455216     20.0      0
35     -1     -999     12849     2     329.5995280863952     -45.93599624039011     -999     -999     -999     20.0      0
36     -1     -999     15501     2     33.83522003113668     -45.488465940172034     -999     -999     -999     20.0      0
37     0     -999     36837     4     302.2751818742153     -44.273577053479706     -999     -999     66.19723909534514     20.0      0
38     -1     -999     32169     2     321.20318002919294     -46.763500800565346     -999     -999     -999     20.0      0
39     0     -999     26113     4     171.9019097754252     -47.109430695836494     -999     -999     75.92645101249218     20.0      0
40     -1     -999     18680     1     33.82694502697689     -47.83810791977719     -999     -999     -999     20.0      0
41     1     -0.0008671819711238982     29204     6     223.7735644335966     -40.738868610081944     223.77251237271022     -40.73974279565007     272.65229006297886     20.0      0
42     0     -999     32858     4     8.476895883526964     -41.18155260422632     -999     -999     92.63496403582394     20.0      0
43     -1     -999     11966     3     189.30648774310507     -52.585596002004905     -999     -999     -999     20.0      0
44     1     -0.0008415392102492092     22266     8     219.76254645803357     -38.169282727175045     219.76228695277794     -38.170129695277666     69.33323200792074     20.0      0
45     1     -0.001380247273893076     19018     8     221.42391791088073     -36.662940748723955     221.42315283259822     -36.664301600746136     7.706699892878532     20.0      0
46     0     -999     18242     4     294.8563861437834     -47.09159770895515     -999     -999     14.256980968639255     20.0      0
47     1     -0.0015826426934424376     17599     10     276.108761803844     -38.28754547121316     276.10821186872477     -38.28908385320555     23.79268384538591     20.0      0
48     -1     -999     12269     1     249.4836222091091     -52.09955816568845     -999     -999     -999     20.0      0
49     -1     -999     3343     2     328.10822732367484     -50.75044309550178     -999     -999     -999     20.0      0
50     -1     -999     8900     3     289.0072813334402     -50.11038139580053     -999     -999     -999     20.0      0
51     1     -0.00023001725192983713     2023     7     12.609232202723046     -46.59803208035019     12.609342339936866     -46.59828609070885     190.96113601699471     20.0      0
52     -1     -999     21850     2     356.4218141262854     -50.88399702203369     -999     -999     -999     20.0      0
53     1     -0.00037267136941920853     33399     13     131.48155629900566     -41.23697836754609     131.48061708825003     -41.23737195492103     85.25434206239879     20.0      0
54     1     -0.00043191544680354355     868     11     123.91940866107674     -51.40296165817589     123.91848470035802     -51.40328913809071     160.4076160583645     20.0      0
55     0     -999     9847     4     324.24062839897204     -41.378489527056914     -999     -999     205.6427311617881     20.0      0
56     -1     -999     12071     2     355.1574974232316     -42.101143965631245     -999     -999     -999     20.0      0
57     1     -0.00039551003000326546     15550     6     137.73804218023216     -36.95823765109724     137.7368126954011     -36.9586225422871     175.30161305330694     20.0      0
58     0     -999     24743     4     27.14009873910199     -43.117967993494574     -999     -999     107.24361217580736     20.0      0
59     -1     -999     6907     3     199.39887346671952     -44.71254461437811     -999     -999     -999     20.0      0
60     1     -0.0004896821978945809     12690     10     133.90926495245012     -42.364618225987606     133.9086819681124     -42.36521307564032     77.34571397304535     20.0      0
61     0     -999     31857     4     179.9562080617122     -41.805794705839716     -999     -999     129.54814708791673     20.0      0
62     1     -0.000859092950754814     7502     7     204.12989191825238     -53.1099354922138     204.12885129455677     -53.11066032191053     115.19268690608442     20.0      0
63     -1     -999     7783     3     5.283511793698092     -55.78771202331259     -999     -999     -999     20.0      0
64     1     -0.0014783342100557206     17467     6     207.80110010234742     -35.90207628510837     207.79716553828555     -35.903584116146035     47.86633397452533     20.0      0
65     1     -0.000630877115852968     36458     5     264.9076904155486     -44.94942573939433     264.9069122932516     -44.950025394711226     31.206614105030894     20.0      0
66     1     -0.00021126984456998343     16891     11     141.24146730613094     -40.545964083967554     141.24048174706604     -40.546041141387335     112.83885082229972     20.0      0
67     -1     -999     33000     2     83.07181581049545     -42.122226983714675     -999     -999     -999     20.0      0
68     1     -0.0002849728830014442     35913     10     125.74133797691718     -45.3929989918261     125.74090211206676     -45.39326716700866     410.94789700582623     20.0      0
69     0     -999     10920     4     154.7236256242564     -35.04265850419613     -999     -999     292.19034407287836     20.0      0
70     -1     -999     32510     2     330.33884234472754     -42.543122730356714     -999     -999     -999     20.0      0
71     0     -999     13560     5     279.68343872369485     -50.16613646826439     -999     -999     1070.962374098599     20.0      0
72     -1     -999     7364     1     352.57944397985483     -38.470681082044386     -999     -999     -999     20.0      0
73     1     -0.0005330105686383035     36167     9     280.9612974784717     -46.78364168744893     280.96099677714915     -46.78417622067068     118.28058888204396     20.0      0
74     -1     -999     27486     2     359.17326293598734     -41.34993967029017     -999     -999     -999     20.0      0
75     1     -0.0006916627613406945     22502     8     210.6557314075102     -43.54943501250592     210.65496398700867     -43.5502292898834     123.02738800644875     20.0      0
76     -1     -999     13855     1     336.41438994463357     -51.592832609687825     -999     -999     -999     20.0      0
77     -1     -999     8240     3     195.3283659985753     -36.9433539738149     -999     -999     -999     20.0      0
78     1     -0.0012262137543856966     10397     15     117.86465863747699     -46.29879452333591     117.8641713802315     -46.299975334164856     181.0766279231757     20.0      0
79     1     -0.0017052621980511162     18274     6     256.81728392340136     -52.30529420581559     256.8170909016646     -52.30702650630204     31.977728009223938     20.0      0
80     1     -0.00021635465711966617     3414     15     129.64252978142     -45.80283727403366     129.64208224831214     -45.80313295864201     47.38797899335623     20.0      0
81     -1     -999     28178     2     304.4647876573527     -47.71150516550612     -999     -999     -999     20.0      0
82     0     -999     18021     4     303.10117882472474     -39.15844711950923     -999     -999     108.71301917359233     20.0      0
