# STEREO Data for run titled "SNR0.9"
#
# Total Number of Trials: 3848.0
# Solved Trials: 1008.0, 39.06976744186046% (of attempted solves), 26.195426195426194% (total)
# Solver Fails: 1550.0, 60.07751937984496% (of attempted solves), 40.28066528066528% (total)
# Timeout Fails: 22.0, 0.8527131782945736% (of attempted solves), 0.5717255717255717% (total)
# Low Star Counts (<4): 1268.0, 32.95218295218295%
# Total Data Collection Time: 0.3140545264513801 hrs
# SNR: 0.9
# skip_header = 24.0
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time
1     -1     -999     2199     1     65.03191885197774     -48.58942089631669     -999     -999     -999
2     0     -999     36705     5     202.95734112255326     -42.48125513926606     -999     -999     1226.9334520678967
3     -1     -999     12779     2     165.86448077003197     -40.51531716575376     -999     -999     -999
4     0     -999     4725     4     338.07215021561547     -56.18207339041697     -999     -999     0.026311026886105537
5     1     7.740065971972854e-05     19127     13     115.78654501365023     -49.64749671835698     115.78531300797114     -49.64756228173924     124.00390417315066
6     0     -999     7963     6     265.4617041218243     -45.06109997496729     -999     -999     0.04190392792224884
7     -1     -999     28495     0     329.3883977350511     -44.508402790071266     -999     -999     -999
8     1     -0.0010790065053782882     20664     10     259.10348163507706     -37.735556138648185     259.1032000293341     -37.73661742072429     72.92400300502777
9     0     -999     28617     5     237.9902376288488     -42.08984479003346     -999     -999     0.014807796105742455
10     0     -999     34463     6     140.1003748173013     -46.98029023385206     -999     -999     0.012684846296906471
11     0     -999     15165     6     181.3011008576129     -50.46965257109338     -999     -999     0.01729000359773636
12     1     -0.0005332855822643978     11062     7     135.08147557585045     -38.76347581022155     135.080755270509     -38.76411821491236     40.61257606372237
13     -1     -999     27593     3     29.76885677554899     -41.62912693494438     -999     -999     -999
14     0     -999     11129     4     286.7226509634539     -45.56122432295176     -999     -999     209.67212109826505
15     0     -999     17889     8     263.69455485305815     -39.62549769028517     -999     -999     0.02309703268110752
16     1     -5.345078125174041e-05     25024     5     252.9850308898886     -45.967402233623154     252.98465173156734     -45.967419313361944     161.60307289101183
17     -1     -999     27343     1     74.00322813797234     -45.52448801775223     -999     -999     -999
18     -1     -999     20158     3     279.81722104122656     -53.757033484049565     -999     -999     -999
19     0     -999     29691     5     61.8559205031647     -43.48294584346713     -999     -999     0.022602034732699394
20     -1     -999     24679     3     346.27095461904213     -45.062693868573504     -999     -999     -999
21     0     -999     34892     4     188.6369667280605     -42.8938684732439     -999     -999     126.80630409158766
22     -1     -999     15810     1     311.4228441223569     -49.339541080103984     -999     -999     -999
23     -1     -999     21077     3     238.14805476822542     -44.99538623391768     -999     -999     -999
24     1     -0.0001787955454517487     26984     15     129.52245248572856     -47.40084085547838     129.52155750537412     -47.40107073688094     119.40229893662035
25     -1     -999     30151     3     186.36840426980038     -43.8293039724387     -999     -999     -999
26     0     -999     24868     4     189.50751529277753     -43.283561007976786     -999     -999     140.9044440370053
27     1     -0.00030199604653802226     24836     13     132.04629255519922     -40.38312053199434     132.04586417862296     -40.38341088856079     208.25196406804025
28     -1     -999     14248     12     234.6469812309009     -38.40342206820655     -999     -999     -999
29     -1     -999     9978     3     292.3440714671488     -34.01836367392259     -999     -999     -999
30     -1     -999     23268     3     302.0217471247455     -50.89536320719897     -999     -999     -999
31     1     -0.00045317388180876605     2977     6     146.9413640638163     -36.51365710693284     146.93983875346322     -36.51401889486615     194.195139920339
32     0     -999     16995     4     314.6692821693207     -53.43149577123281     -999     -999     0.020181993022561073
33     0     -999     8952     9     265.4426032354898     -54.959443581863944     -999     -999     0.016947975382208824
34     -1     -999     30787     3     203.50834975351444     -42.23118203281627     -999     -999     -999
35     0     -999     22055     5     200.56727961837734     -37.59047708490705     -999     -999     0.01832796260714531
36     0     -999     17160     4     61.22825588523647     -44.59425294422567     -999     -999     0.02659996971487999
37     0     -999     22225     10     241.96023097679821     -38.634904059053824     -999     -999     1257.0838630199432
38     -1     -999     9323     3     32.75288323487761     -49.21737390910665     -999     -999     -999
39     0     -999     33123     5     51.97385776246016     -41.638320081712465     -999     -999     760.5193650815636
40     0     -999     34829     5     10.65886012038753     -46.21453060009515     -999     -999     342.16757281683385
41     -1     -999     488     3     310.9349095429052     -36.24439179431242     -999     -999     -999
42     -1     -999     15261     1     296.9920471435829     -50.69604147307667     -999     -999     -999
43     1     -0.00020417721833609903     10983     17     118.7416136994092     -38.464829090602144     118.74053478520251     -38.465189969342596     46.655809972435236
44     1     3.4096564597518864e-05     10346     6     131.10639952968816     -50.31658073472683     131.10574219369502     -50.31646156600218     89.41937400959432
45     -1     -999     31090     3     94.01109326355025     -47.49361210043346     -999     -999     -999
46     0     -999     14536     4     184.7437269872712     -45.07597540087595     -999     -999     0.026165973395109177
47     -1     -999     36403     2     33.945217205246855     -46.437754742825184     -999     -999     -999
48     -1     -999     9999     3     356.05006078675984     -40.95671404371165     -999     -999     -999
49     1     -0.0009797892478857761     8073     8     271.07293898956505     -40.38962565454225     271.0725868677655     -40.39056833603049     681.126934941858
50     1     -0.0009442694749282055     26057     7     351.2161352793753     -42.20054897085271     351.2147450095137     -42.20155014923825     142.84080709330738
51     0     -999     22390     8     93.61800648850794     -51.57382239616572     -999     -999     0.01467810943722725
52     -1     -999     28875     2     359.66030389202865     -41.347510218715165     -999     -999     -999
53     -1     -999     1888     1     52.02776159462207     -54.169363799261035     -999     -999     -999
54     0     -999     18355     7     59.79084690767389     -36.30693129516665     -999     -999     0.02261018380522728
55     -1     -999     3408     3     26.814214937288117     -54.151018588163666     -999     -999     -999
56     0     -999     28623     8     350.3455561944773     -43.82914377757958     -999     -999     136.32410787977278
57     -1     -999     19623     3     57.66438118590657     -41.833509471456786     -999     -999     -999
58     0     -999     19135     4     358.54185881264635     -49.768534509323665     -999     -999     282.37225604243577
