# STEREO Data for run titled "SNR0.6"
#
# Total Number of Trials: 8794.0
# Solved Trials: 1008.0, 16.909914443885253% (of attempted solves), 11.462360700477598% (total)
# Solver Fails: 4887.0, 81.98288877705083% (of attempted solves), 55.5719808960655% (total)
# Timeout Fails: 66.0, 1.1071967790639154% (of attempted solves), 0.7505117125312714% (total)
# Low Star Counts (<4): 2833.0, 32.21514669092563%
# Total Data Collection Time: 0.7213145587077856 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
37     -1     -999     6218     2     345.21865284279227     -55.73122521211723     -999     -999     -999     0.6      0
38     1     -0.0006141900681484458     27368     6     285.1644021862883     -43.032980403860975     285.1647139984093     -43.033577205926726     152.55079790949821     0.6      0
39     0     -999     14401     9     254.90121162176072     -38.04313246375481     -999     -999     0.025385059416294098     0.6      0
40     0     -999     31061     5     155.53807627526547     -48.865837097596206     -999     -999     0.024826964363455772     0.6      0
41     1     -0.0007152612704715011     18946     8     225.4841323438645     -37.84140352848033     225.48378615595027     -37.84209477412619     369.62947994470596     0.6      0
42     1     -0.00016665142394600707     26674     7     246.91313079874288     -43.25334682526745     246.91389918177344     -43.25357610183994     325.4230029415339     0.6      0
43     -1     -999     11168     2     158.57172676849842     -39.127514439110605     -999     -999     -999     0.6      0
44     0     -999     25460     7     282.3651999051782     -40.893017788246475     -999     -999     185.49220892600715     0.6      0
45     0     -999     24673     7     194.1210342268737     -47.49781335221129     -999     -999     0.020626932382583618     0.6      0
46     -1     -999     12725     3     323.30669921883174     -49.18297700037816     -999     -999     -999     0.6      0
47     -1     -999     31795     2     270.9952153307182     -47.66463875619711     -999     -999     -999     0.6      0
48     -1     -999     15607     2     356.7461037998138     -52.20023645662678     -999     -999     -999     0.6      0
49     -1     -999     34943     1     57.1583942548944     -45.35785625833516     -999     -999     -999     0.6      0
50     0     -999     5118     4     204.0076156410722     -36.11568160668171     -999     -999     0.015910016372799873     0.6      0
51     0     -999     16650     5     220.9055153719453     -53.49018707683393     -999     -999     393.3197788428515     0.6      0
52     0     -999     14817     8     154.39958602404664     -52.86721139775286     -999     -999     213.37893302552402     0.6      0
53     0     -999     18799     10     172.4715043887299     -36.57579683225674     -999     -999     1262.5140941236168     0.6      0
54     1     -0.0008363707132801323     2398     7     214.54307178661242     -52.471432559222016     214.54176842928308     -52.4723720522172     119.93161612190306     0.6      0
55     0     -999     34043     5     356.63280522780485     -43.737279286749384     -999     -999     0.023971078917384148     0.6      0
56     0     -999     31852     12     120.58652783733689     -41.603247133546915     -999     -999     0.03084004856646061     0.6      0
57     0     -999     35432     6     209.73480470010418     -43.389386598363856     -999     -999     51.81591399013996     0.6      0
58     -1     -999     2814     1     351.58135428859737     -47.48503132853963     -999     -999     -999     0.6      0
59     -1     -999     14230     1     52.94055258575433     -51.86476792955656     -999     -999     -999     0.6      0
60     0     -999     26009     9     200.59376643283156     -48.76550850482826     -999     -999     0.03220513463020325     0.6      0
61     0     -999     2315     4     308.9244926381634     -37.558235465500125     -999     -999     0.017390120774507523     0.6      0
62     0     -999     33498     10     207.42592543254918     -41.62211394106206     -999     -999     0.02880394458770752     0.6      0
63     0     -999     34762     12     217.00948928329535     -46.47634168900693     -999     -999     0.027918023988604546     0.6      0
64     -1     -999     27118     3     32.84734738707957     -46.17564207649376     -999     -999     -999     0.6      0
65     -1     -999     14741     3     24.240646985590477     -42.40766740466187     -999     -999     -999     0.6      0
66     0     -999     1359     4     270.12016042176026     -54.820102316866965     -999     -999     0.016425037756562233     0.6      0
67     0     -999     19168     4     177.6702338040818     -42.271160353067906     -999     -999     0.016110017895698547     0.6      0
68     0     -999     22202     5     351.1428683865792     -50.52848335919395     -999     -999     479.7039180994034     0.6      0
69     -1     -999     26863     3     302.800855346437     -44.54217014967798     -999     -999     -999     0.6      0
70     0     -999     21331     5     283.0403614283307     -46.3002950988828     -999     -999     0.02629496157169342     0.6      0
71     -1     -999     23618     2     299.22738473615857     -47.71462687245013     -999     -999     -999     0.6      0
72     0     -999     2570     7     280.2252715835176     -49.7381167465459     -999     -999     0.03301398828625679     0.6      0
73     -1     -999     13171     2     347.46473057238205     -37.768609575266744     -999     -999     -999     0.6      0
74     -1     -999     10831     0     273.48777760682805     -53.1001170248587     -999     -999     -999     0.6      0
