# STEREO Data for run titled "SNR0.8"
#
# Total Number of Trials: 4445.0
# Solved Trials: 1008.0, 33.36643495531281% (of attempted solves), 22.677165354330707% (total)
# Solver Fails: 1980.0, 65.54121151936445% (of attempted solves), 44.544431946006746% (total)
# Timeout Fails: 33.0, 1.0923535253227408% (of attempted solves), 0.7424071991001124% (total)
# Low Star Counts (<4): 1424.0, 32.03599550056243%
# Total Data Collection Time: 0.4237367668297116 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
1     0     -999     32921     4     67.05614572888541     -42.18867917218053     -999     -999     0.030003022402524948     0.8      0
2     0     -999     32468     4     97.7143587327653     -48.336972477655756     -999     -999     0.042621977627277374     0.8      0
3     0     -999     19007     8     268.2442251469244     -41.002892283575854     -999     -999     0.02095196396112442     0.8      0
4     0     -999     5524     5     36.924700948311155     -42.05542724377231     -999     -999     51.4979159925133     0.8      0
5     -1     -999     21581     3     232.74841285748843     -52.664446884794685     -999     -999     -999     0.8      0
6     0     -999     15143     4     91.76175634030405     -40.1637412991024     -999     -999     0.02010003663599491     0.8      0
7     -1     -999     17543     3     163.87073975086125     -41.27631546002344     -999     -999     -999     0.8      0
8     0     -999     5220     6     219.65997782630953     -37.07559320578909     -999     -999     0.019742874428629875     0.8      0
9     -1     -999     16296     1     335.3568939793162     -37.6448907717402     -999     -999     -999     0.8      0
10     0     -999     30970     4     110.99711101306029     -48.86720154837957     -999     -999     181.2389378901571     0.8      0
11     0     -999     1381     6     320.12679520163465     -54.31552379194301     -999     -999     170.71442888118327     0.8      0
12     1     -0.0005537741858248069     10615     24     117.71272674927677     -37.93084015872114     117.71200541296774     -37.931318455302616     88.39352009817958     0.8      0
13     1     -0.0006349570660617587     20294     6     295.9233356952454     -53.246510923150886     295.9216116819666     -53.247035352683284     15.299872029572725     0.8      0
14     0     -999     543     8     219.9114856247171     -41.93358193960494     -999     -999     0.019745901226997375     0.8      0
15     -1     -999     5206     2     55.972038866070946     -55.342833372381726     -999     -999     -999     0.8      0
16     0     -999     5633     11     287.68261106738066     -41.11341580431654     -999     -999     1002.0863860845566     0.8      0
17     0     -999     9140     6     137.13940988067284     -37.39944783247694     -999     -999     235.13085301965475     0.8      0
18     0     -999     34208     4     82.48188063045677     -46.353290651150566     -999     -999     80.45337186194956     0.8      0
19     -1     -999     32021     2     324.68017014465886     -48.58893414124018     -999     -999     -999     0.8      0
20     0     -999     19243     5     297.3197132981596     -38.6725426139934     -999     -999     113.34399203769863     0.8      0
21     0     -999     33810     5     223.12031987486048     -40.981241879414235     -999     -999     0.019676052033901215     0.8      0
22     0     -999     10190     8     201.04206163108506     -52.46086559569204     -999     -999     0.013123033568263054     0.8      0
23     -1     -999     20040     2     69.78681523497117     -36.83956138620762     -999     -999     -999     0.8      0
24     -1     -999     26636     3     21.834191063281324     -49.376673778339224     -999     -999     -999     0.8      0
25     0     -999     10790     5     237.25815485833834     -49.8832641397685     -999     -999     0.015767058357596397     0.8      0
26     1     0.0005853062255098962     25276     6     288.5649254562555     -44.57020413535029     288.5658124987373     -44.56969166831881     35.02575005404651     0.8      0
