# STEREO Data for run titled "SNR2"
#
# Total Number of Trials: 2284.0
# Solved Trials: 1008.0, 65.45454545454545% (of attempted solves), 44.13309982486865% (total)
# Solver Fails: 516.0, 33.506493506493506% (of attempted solves), 22.591943957968475% (total)
# Timeout Fails: 16.0, 1.0389610389610389% (of attempted solves), 0.7005253940455342% (total)
# Low Star Counts (<4): 744.0, 32.57443082311734%
# Total Data Collection Time: 0.21400887475782332 hrs
# SNR: 2.0
# skip_header = 24.0
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time
1     1     -0.00018700766641188693     6485     12     116.09305138063591     -41.87637591399269     116.0933907078698     -41.87649364094701     306.8639589473605
2     1     -0.00010139892484772872     8364     6     346.36007643011504     -42.80430337183343     346.35866171677895     -42.80408001955333     54.702705005183816
3     1     -0.00011070441191662894     30138     13     133.71016440785627     -41.68325137259379     133.70932983612445     -41.68334302246707     37.829391891136765
4     -1     -999     9887     0     294.65725922247225     -35.47146331638893     -999     -999     -999
5     -1     -999     1157     2     323.7986521249677     -47.4588202812209     -999     -999     -999
6     -1     -999     35904     3     48.424791147263115     -42.88122968895231     -999     -999     -999
7     1     8.485600442753594e-05     19445     9     153.06328991417877     -52.25171479851141     153.06159306683227     -52.251702087241156     66.80711498484015
8     1     -4.4112092602688335e-05     32468     14     125.30399456528531     -47.992508242892725     125.30353428841356     -47.99256393295081     43.62613381817937
9     -1     -999     30577     2     313.1240180151053     -46.968412194188176     -999     -999     -999
10     1     -0.0006393816478151848     4073     7     218.12669467923587     -53.32326748418353     218.12582570316644     -53.32396779364464     229.81494199484587
11     -1     -999     31712     1     311.99184128134027     -48.4727989058004     -999     -999     -999
12     1     -0.0008496637571582255     7652     5     75.01790699671962     -35.27414535158135     75.01864384051956     -35.274888933482735     17.039197962731123
13     1     -0.0010508201168519804     12854     8     184.94259557353325     -40.1895592989544     184.94120616082185     -40.19082283992539     142.16947206296027
14     -1     -999     20340     3     63.00696161362554     -46.217206814178574     -999     -999     -999
15     0     -999     5758     4     332.25318807980796     -38.49759969324731     -999     -999     54.52337791211903
16     -1     -999     5011     1     144.97110788032754     -42.54349261767776     -999     -999     -999
17     1     -0.0006117840781385553     14300     6     218.96638626953614     -37.25598093805281     218.96577223136833     -37.25658361412558     86.8185730651021
18     1     -0.001237242600730326     14704     6     234.27750102322156     -43.467807681929926     234.2759005303692     -43.46928704311387     283.79379003308713
19     0     -999     7585     5     68.66733789846064     -34.24803634372665     -999     -999     278.4962060395628
20     -1     -999     1396     0     44.60299060140416     -42.42869890291722     -999     -999     -999
21     1     -0.0009577306480110792     12184     5     354.43785901405636     -46.24782054993934     354.4393003492517     -46.24858153036631     71.14731590263546
22     1     -0.0004031415513523484     24289     9     140.66911183433834     -49.78542402759319     140.66843555461168     -49.7858105209398     170.62788386829197
23     1     -0.000630018812437072     34952     8     198.8588181074318     -42.60650719714328     198.85800212757312     -42.6071021605642     88.5242570657283
24     0     -999     22360     6     340.34511442937566     -45.27589824712383     -999     -999     53.20196691900492
25     1     -0.0026251613418679653     30483     5     149.89217762717374     -41.041319719851536     149.8793420367509     -41.044653395874704     48.9527340978384
26     1     -7.364259766973191e-05     1272     15     140.69645283783754     -39.19978140512757     140.6955113836889     -39.199714189414564     391.7495140340179
27     0     -999     20359     8     224.75811838536393     -41.62329234747455     -999     -999     787.0773400645703
28     1     -0.0012122239164753523     4405     9     77.34698858765518     -34.901288431658884     77.3477900571046     -34.902470920676215     62.8515409771353
29     0     -999     8032     5     249.0602737749247     -37.43072688335042     -999     -999     1125.0924251507968
30     1     -0.001220352167173644     7617     6     4.148779958316173     -49.218377967639     4.151446765044671     -49.219090996436755     32.98020805232227
31     -1     -999     37092     3     24.127638586915648     -44.23613492867956     -999     -999     -999
32     1     -0.00017563147790156108     6439     6     167.85619377291002     -32.375442247652146     167.85589454947367     -32.37563081376769     287.99218498170376
33     -1     -999     36289     0     76.28774860915469     -43.9815280818423     -999     -999     -999
34     -1     -999     5108     1     32.05180614347141     -55.394940083396335     -999     -999     -999
35     -1     -999     17837     1     34.43759940181605     -46.90456706730404     -999     -999     -999
36     -1     -999     18941     3     246.89725558009502     -40.19049960617006     -999     -999     -999
37     1     -0.0007262832374621553     24399     5     255.8268240834125     -46.90391501293213     255.82900743366838     -46.904475885761016     179.67785894870758
38     0     -999     22872     6     181.34065129238138     -51.67136353129597     -999     -999     169.54605211503804
39     1     -0.0002411702112468106     13869     20     111.21866890467385     -37.09511581604617     111.21841052717863     -37.09536505565934     100.72589805349708
40     -1     -999     17931     2     294.15161915244033     -37.98460810369843     -999     -999     -999
41     -1     -999     37115     1     43.970212155881484     -44.4779815435475     -999     -999     -999
42     1     -0.0005764826224776698     17161     5     252.58593146788323     -48.739744132562876     252.5854965789655     -48.74027006579924     22.217584075406194
43     -1     -999     21204     3     167.792771797666     -53.944133391604964     -999     -999     -999
44     1     -0.0003177514035854756     542     6     347.86111820213574     -40.23214690309043     347.8620461227401     -40.232639445883294     25.66599496640265
45     0     -999     31858     5     337.8210372267129     -48.76884534560928     -999     -999     0.01807999797165394
46     1     -0.00020719786984813027     31595     8     88.30381258673629     -41.27710186588205     88.30343443586045     -41.27730922870118     21.714469883590937
47     -1     -999     34150     3     69.22419293527298     -46.298857060221486     -999     -999     -999
