# STEREO Data for run titled "SNR10"
#
# Total Number of Trials: 2048.0
# Solved Trials: 1008.0, 72.7797833935018% (of attempted solves), 49.21875% (total)
# Solver Fails: 363.0, 26.209386281588447% (of attempted solves), 17.724609375% (total)
# Timeout Fails: 14.0, 1.0108303249097472% (of attempted solves), 0.68359375% (total)
# Low Star Counts (<4): 663.0, 32.373046875%
# Total Data Collection Time: 0.21799856803942627 hrs
# SNR: 10.0
# skip_header = 24.0
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time
1     -1     -999     24551     3     45.06501996995012     -40.382973385162714     -999     -999     -999
2     1     -0.0001927432964947684     20679     11     127.75733782853236     -47.82741599302433     127.75648759055782     -47.827730953582964     199.13261593319476
3     1     -7.866827046854041e-05     8393     7     149.06755613347474     -54.157832231247276     149.0666118649959     -54.15805009723266     206.17308397777379
4     1     -8.764638523217627e-05     29798     6     69.30305313703765     -42.413310148017146     69.30248543785264     -42.41336675408149     52.95608309097588
5     1     -0.0008419318138734866     26423     6     198.91148274077682     -43.410814973355116     198.90945065236383     -43.41151781383425     144.03238706290722
6     1     -0.000832784418939525     28407     8     273.1946779766269     -42.52398937402778     273.19439661526076     -42.52480962021534     250.87274704128504
7     -1     -999     13526     2     15.312349128055123     -37.61533778345576     -999     -999     -999
8     1     3.116003293257563e-05     3063     6     169.99882559570958     -36.82534033596714     169.9972881193288     -36.825195774387446     43.939762050285935
9     0     -999     16681     4     82.04917866559637     -39.30829620309379     -999     -999     237.1081409510225
10     1     -0.0017052333029710098     12789     5     291.4506711993865     -41.89359355861986     291.45036767355606     -41.89528858277147     33.80306996405125
11     0     -999     34147     4     142.12243049368666     -48.58120341771566     -999     -999     162.47042501345277
12     0     -999     24764     5     213.32970581968047     -47.245926891834216     -999     -999     1316.3710278458893
13     0     -999     36817     4     189.93762400914088     -43.455433211991405     -999     -999     172.42101207375526
14     1     -0.00011365006012908907     34150     7     347.0610384059178     -41.82497049851434     347.0598517677733     -41.82504825567293     21.84813912026584
15     -1     -999     29858     1     308.0465270091772     -44.85443865170184     -999     -999     -999
16     1     -0.0007489753072036365     5103     7     264.26549191732795     -35.36911739660349     264.2654319470328     -35.36986641818904     619.4069848861545
17     1     -0.0006592824875042425     4411     7     168.81975148032816     -43.990173889566805     168.81842014991244     -43.99060808861196     126.07227708213031
18     1     -0.003773834302165824     4402     6     341.20682986332275     -48.773678941129575     341.20885453460437     -48.77723498407034     493.18675394169986
19     0     -999     18368     4     49.780004521347166     -36.60500598721402     -999     -999     145.90048417448997
20     -1     -999     10429     1     355.6575624060402     -37.95802756567013     -999     -999     -999
21     0     -999     13412     4     268.74165733333064     -47.31872968730203     -999     -999     92.43137901648879
22     -1     -999     32825     1     20.93235951289239     -41.44368609179012     -999     -999     -999
23     -1     -999     6529     0     336.73632666280866     -55.545626026379885     -999     -999     -999
24     0     -999     18514     4     243.38952175719632     -52.47843813695981     -999     -999     283.9118759147823
25     1     -0.0018635606501860025     24583     6     187.7769661150067     -48.44320116368515     187.7723132300011     -48.44483080660519     84.59163992665708
26     -1     -999     28028     3     38.211216477128886     -46.42704278023013     -999     -999     -999
27     -1     -999     34435     1     76.55750200626807     -43.09497691573473     -999     -999     -999
28     1     -0.0019229439298484863     361     12     286.7756688006344     -36.61323063061591     286.77539392368425     -36.61514310293333     26.76993189379573
29     1     -0.0005482489946118108     32239     6     235.51555493984335     -41.23980523104806     235.51354977112294     -41.24031866793404     21.51943906210363
30     1     0.00037653114683422473     35968     5     191.7295856605209     -46.99564471098649     191.72798256350075     -46.99524009411105     116.76846584305167
31     -1     -999     20616     3     200.43023887810162     -36.503271739853304     -999     -999     -999
32     -1     -999     20592     2     166.04552856940887     -38.78858755422458     -999     -999     -999
33     1     -0.0018458040818600807     1309     7     289.24529585904696     -54.929380679030864     289.24483154102995     -54.931242198661195     32.14328084141016
34     1     -0.0003885031127239813     35427     7     207.92652563327428     -43.374079559250404     207.92553075190904     -43.374505307796554     20.803955849260092
35     1     -0.0016777359211772591     33360     5     277.96001892690964     -47.96559278513989     277.959818206641     -47.967265364893436     14.481256948783994
36     -1     -999     29044     2     311.1088646306619     -43.4709211925703     -999     -999     -999
37     1     -0.0010845888446482377     8343     5     244.23330886128716     -33.31160228942088     244.23262379914766     -33.3127667799362     115.03027495928109
38     1     0.000268510370190711     6871     5     345.4554264695709     -42.463931699081165     345.45285024628026     -42.4631014064584     175.5305388942361
39     -1     -999     20235     3     11.48776942636465     -50.195531022706234     -999     -999     -999
40     0     -999     4893     4     188.13065796367636     -33.76538992021069     -999     -999     19.8501858394593
41     -1     -999     6321     2     157.21536750768394     -32.257902432243995     -999     -999     -999
42     1     0.00010388716779630158     20328     5     33.23975289167345     -50.19527641630231     33.25328210533341     -50.19342918417303     257.8893480822444
43     1     -0.0005087983056739631     22082     6     238.28313202076077     -40.52021764140101     238.28193207030847     -40.5205922923112     133.66863201372325
44     0     -999     3977     4     36.68870796843269     -39.454545286878655     -999     -999     84.93815991096199
45     1     -0.0005955845254277392     1784     10     285.43334650738313     -40.79280076804813     285.433668366564     -40.79346077596482     39.853418013080955
46     -1     -999     12101     2     229.0472302521506     -53.32314073989888     -999     -999     -999
47     1     -0.0004886530703558378     7610     6     264.27741827842317     -57.375488339190106     264.27625095430847     -57.37591000002579     133.8841028045863
48     1     -0.0006459506634115542     35079     16     118.88909433585422     -43.557835174461644     118.88820776017111     -43.55853714921544     168.89639687724411
49     0     -999     21203     4     347.0043749639152     -36.054506838177936     -999     -999     210.21430101245642
50     1     0.0003902224955751876     24628     5     85.1324431016803     -40.81222039845261     85.13223803349169     -40.811822848529516     276.40052302740514
51     1     -0.00043491677354268177     23187     10     96.99431034069116     -38.94375304729537     96.99393707398751     -38.94418309299441     212.85699494183064
52     1     -0.00091427354368534     35197     8     291.9324419681999     -45.051807168053855     291.9329008431953     -45.05275363609146     81.7483018618077
53     -1     -999     26496     3     297.3258195533494     -49.002973016981365     -999     -999     -999
54     1     -0.002879216208448554     36053     6     232.43431282218444     -47.05657318604634     232.4289082156426     -47.05942480222312     188.4504989720881
55     1     -0.0002934111207153478     2901     7     103.18693198901252     -36.08245470779028     103.18627036769618     -36.082765478764045     71.69236987829208
56     1     0.0007920260288756253     11640     8     108.06999700658463     -53.04283302523809     108.06952434410266     -53.04200905390948     152.12636697106063
57     1     0.0011281231133537517     15990     7     85.35813662161173     -51.67538721424123     85.3575217813376     -51.674294010504575     37.21800888888538
58     -1     -999     36416     3     357.06801731817524     -47.189234920571636     -999     -999     -999
59     1     -0.0034450976585986837     10475     7     335.65693291548314     -42.34053026588334     335.65935386303903     -42.34366906093132     34.56055698916316
60     -1     -999     13655     1     0.08585417162600457     -42.918061723274974     -999     -999     -999
61     0     -999     3512     4     29.42363091800599     -53.22807014868321     -999     -999     249.14782820269465
62     -1     -999     12590     1     57.605953987509274     -50.74022589572752     -999     -999     -999
63     1     -0.0007310505183610871     20441     6     151.34933360265572     -36.810589287867025     151.3476077948419     -36.81146971621064     307.6670409645885
64     1     -0.0003698957988049756     33603     9     231.24446709861257     -41.67555896427264     231.2437982932428     -41.675892961238276     58.984053088352084
65     1     -0.0005581701155037422     6263     5     180.2851912600831     -35.931437055147455     180.28260495574415     -35.93156918806625     197.75861501693726
66     0     -999     999     4     163.6122173605193     -52.39073754148055     -999     -999     131.46192603744566
67     1     -0.001228938387058065     28077     10     157.1009124644749     -40.931692847572414     157.09290845805083     -40.93293618428939     84.72204115241766
68     0     -999     9853     4     332.0257861383921     -42.60780606463044     -999     -999     51.0146280284971
69     0     -999     29418     4     25.418647707312715     -45.87605093890469     -999     -999     44.68185896985233
