# STEREO Data for run titled "SNR5"
#
# Total Number of Trials: 2059.0
# Solved Trials: 1008.0, 70.78651685393258% (of attempted solves), 48.95580378824672% (total)
# Solver Fails: 401.0, 28.160112359550563% (of attempted solves), 19.475473530840215% (total)
# Timeout Fails: 15.0, 1.053370786516854% (of attempted solves), 0.7285089849441476% (total)
# Low Star Counts (<4): 635.0, 30.840213695968917%
# Total Data Collection Time: 0.22155958623890507 hrs
# SNR: 5.0
# skip_header = 24.0
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time
141     1     -0.0016680424132573535     19380     6     313.7421264957536     -37.71463997500259     313.7426987936842     -37.71633800747619     48.1535941362381
142     1     -0.0010266382867527568     10215     7     265.89676103821756     -42.696277228148524     265.89712086998793     -42.69726940906186     134.53360204584897
143     -1     -999     5042     3     339.1829561715069     -50.79585738209297     -999     -999     -999
144     -1     -999     33295     2     322.49611445789844     -48.55321059608898     -999     -999     -999
145     1     -0.00018413294879593423     2263     8     147.87540214872936     -54.13909310906711     147.87399254478018     -54.139270492869414     217.34815300442278
146     1     -0.0005166431503909052     3805     10     192.36779254182792     -49.480038604317585     192.36567601201122     -49.480852145703665     20.70042211562395
147     -1     -999     33304     3     30.361914755609774     -45.40965449565871     -999     -999     -999
148     1     -0.00036581289362658254     12505     6     147.08301073064308     -36.040999576370126     147.08158162395483     -36.04143872207947     23.16395496018231
149     1     -7.425309372166566e-05     35918     6     348.4309185602958     -43.24277108542954     348.42964324706514     -43.2428791205948     191.91829697228968
150     1     0.0008816468787529175     17741     7     39.98582179109928     -50.71232809067861     39.986847731829435     -50.711541962343226     88.12603005208075
151     1     -0.0007301215157085039     12578     6     265.46254820594083     -45.21442564293069     265.4619973729623     -45.215084490630915     41.149009950459
152     -1     -999     17807     3     5.089477644101722     -43.787461354437134     -999     -999     -999
153     -1     -999     24225     5     8.051168836426875     -41.57073574059029     -999     -999     -999
154     -1     -999     11847     2     17.97955107235549     -36.84245122878866     -999     -999     -999
155     1     0.00031243077394549346     2804     8     43.74992187931427     -39.315752153115504     43.7497566075373     -39.31545646805267     30.872642993927002
156     -1     -999     33596     0     62.626673106142945     -47.77912463297948     -999     -999     -999
157     -1     -999     27842     1     292.34762545848065     -48.147110122103925     -999     -999     -999
158     1     -0.0013977882384494933     15036     9     274.44336665896043     -47.535177700245654     274.4419868135171     -47.53676804615396     163.53839519433677
159     1     0.00011573160826117146     20173     9     108.07679493148498     -36.08746125098576     108.07591905727405     -36.08737297967832     34.40717002376914
160     1     -0.001043908695045559     29568     7     348.7733124683313     -41.501874906388096     348.77341305878     -41.50292247376821     340.2327289804816
161     -1     -999     27490     0     327.87136614305507     -42.44786086702028     -999     -999     -999
162     0     -999     22566     12     99.49395619110676     -51.66479430171011     -999     -999     0.017590122297406197
163     1     0.0012797069547545448     21682     16     123.81967115090868     -38.188026449299855     123.81909065076752     -38.18669813761359     32.33210486359894
164     1     -0.0004012657993399671     30560     5     349.9602039697053     -49.3346572394202     349.96065092970815     -49.33507550948577     30.825412832200527
165     1     -0.000902514390389797     20337     6     253.5308024862365     -47.10725750194333     253.53024878075882     -47.10809674584863     119.9206430464983
166     1     -0.0011518104167080878     3261     8     221.65442967845172     -37.637209795705786     221.6542769765042     -37.63835568359726     20.009892992675304
