# STEREO Data for run titled "SNR1"
#
# Total Number of Trials: 3304.0
# Solved Trials: 1008.0, 46.25975217989904% (of attempted solves), 30.508474576271187% (total)
# Solver Fails: 1150.0, 52.77650298301973% (of attempted solves), 34.80629539951574% (total)
# Timeout Fails: 21.0, 0.9637448370812299% (of attempted solves), 0.635593220338983% (total)
# Low Star Counts (<4): 1125.0, 34.049636803874094%
# Total Data Collection Time: 0.2884247080047175 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
17     -1     -999     30186     1     352.36584752951524     -47.7029019634279     -999     -999     -999     1.0      0
18     0     -999     31219     4     68.66480667705186     -43.86619549662664     -999     -999     0.016144011169672012     1.0      0
19     -1     -999     16161     2     329.42483207543495     -40.318952998857434     -999     -999     -999     1.0      0
20     -1     -999     1437     3     303.10863375677604     -55.46407383631413     -999     -999     -999     1.0      0
21     -1     -999     9655     1     330.0147362269438     -50.98230946666756     -999     -999     -999     1.0      0
22     1     -0.000719260793182741     10077     9     231.80398897384984     -43.529479042849744     231.80281966173166     -43.53045407066205     48.13148989342153     1.0      0
23     0     -999     8048     5     84.34619091421314     -52.50972370529227     -999     -999     0.03090989775955677     1.0      0
24     1     -0.0007088110501598521     34119     8     348.26162473569343     -42.20752223937715     348.2598991571353     -42.2081669764492     75.02565300092101     1.0      0
25     0     -999     16228     4     11.636900092835807     -43.80801480290506     -999     -999     106.97773518040776     1.0      0
26     0     -999     5951     8     84.18177371587667     -33.79768955145657     -999     -999     0.01940806396305561     1.0      0
27     0     -999     1351     5     38.145856569026535     -41.974259201863205     -999     -999     200.12082904577255     1.0      0
28     1     0.00016266292784195002     26751     5     52.031702895697535     -48.68859880129779     52.03161458969405     -48.68843972451732     165.1670450810343     1.0      0
29     1     0.0008520953798480946     17296     8     88.38131529301373     -44.88686260288981     88.38070849801902     -44.886088980921194     137.8293950110674     1.0      0
30     0     -999     14390     6     201.97199122975576     -39.023157172453196     -999     -999     0.014108838513493538     1.0      0
31     0     -999     15602     4     49.58828924202026     -46.580827113315486     -999     -999     38.47236116416752     1.0      0
32     1     -0.0005277814058430863     22405     12     229.30920911786336     -39.472623637143016     229.3086480078994     -39.47319397477732     247.89252318441868     1.0      0
33     1     6.073289783614655e-05     32657     7     346.6702157434794     -41.827653182633796     346.6696575542081     -41.82757884960377     21.983675193041563     1.0      0
34     -1     -999     30072     2     312.76594669128554     -47.68282294757376     -999     -999     -999     1.0      0
35     0     -999     14858     4     264.1532056781385     -43.77786108664005     -999     -999     0.021256040781736374     1.0      0
36     1     -0.0031166294056319543     12909     12     288.7172909597934     -38.01216195105728     288.71485731798987     -38.01506438961808     38.31363283097744     1.0      0
37     1     -9.021975802170346e-05     15506     5     153.15625611576274     -38.046464591332665     153.15449535768218     -38.046421810857275     131.6557638347149     1.0      0
38     1     -0.0005985689223919621     22647     10     202.61211796713002     -48.27600093052972     202.61117104776503     -48.276710506775395     150.1085818745196     1.0      0
39     -1     -999     5602     3     80.10081332397829     -47.00428627169295     -999     -999     -999     1.0      0
40     0     -999     15939     6     89.43963277096326     -50.533509544933274     -999     -999     0.019987113773822784     1.0      0
41     1     -0.00047873068490389414     4922     8     244.74388428781774     -37.5939146968003     244.7437172756429     -37.594376354624124     147.8934169281274     1.0      0
42     0     -999     19760     5     247.33046078521699     -51.28412063155773     -999     -999     0.03024493344128132     1.0      0
43     -1     -999     27901     6     259.60896119595463     -47.58865907416272     -999     -999     -999     1.0      0
44     0     -999     24302     6     163.754453943852     -49.99799379380329     -999     -999     0.016829930245876312     1.0      0
45     -1     -999     13476     1     353.12894079470334     -38.19930701600973     -999     -999     -999     1.0      0
46     1     -0.0005419509781390275     36257     5     173.03461279140868     -44.01293330374162     173.03359397946429     -44.013450648110286     185.94498396851122     1.0      0
